13857,FORMA SIMP.TRAD.BWB BOMBOM LISO PEQ.1UN,0.605,0.6413
13858,FORMA SIMP.TRAD.BWB BOMBOM ROSA 1UN,0.605,0.6413
20535,FORMA SIMP.TRAD.BWB CAUDA DE SEREIA 1UN,0.605,0.526576
22827,FORMA SIMP.TRAD.BWB CEREJAO 1UN,0.605,0.6413
13831,FORMA SIMP.TRAD.BWB CHAPEU COWBOY 1UN,0.605,0.488259
13861,FORMA SIMP.TRAD.BWB COLHER 1UN,0.605,0.516094
16877,FORMA SIMP.TRAD.BWB COPINHO LICOR 1UN,0.605,0.6413
14084,FORMA SIMP.TRAD.BWB CORACAO RISCADO 1UN,0.605,0.6413
13863,FORMA SIMP.TRAD.BWB FLORZINHA APLIQUE1UN,0.605,0.6413
13842,FORMA SIMP.TRAD.BWB FUNDO DO MAR 1UN,0.605,0.6413
27162,FORMA SIMP.TRAD.BWB HELICOPTERO 1UN,0.605,0.6413
20547,FORMA SIMP.TRAD.BWB I LOVE YOU 1UN,0.605,0.6413
13841,FORMA SIMP.TRAD.BWB KIT MAQUIAGEM 1UN,0.605,0.50456
13839,FORMA SIMP.TRAD.BWB LACINHO 1UN,0.605,0.516094
13275,FORMA SIMP.TRAD.BWB MUSICAL 1UN,0.605,0.50456
16866,FORMA SIMP.TRAD.BWB NUMEROS 1 1UN,0.605,0.526576
13273,FORMA SIMP.TRAD.BWB OSSO DOG 1UN,0.605,0.558249
20540,FORMA SIMP.TRAD.BWB PASTA AMERICAN-1 1UN,0.605,0.50456
17469,FORMA SIMP.TRAD.BWB PIR.BIGODE HANDL.1UN,0.605,0.6413
13827,FORMA SIMP.TRAD.BWB PIRULITAO 1UN,0.605,0.6413
25602,FORMA SIMP.TRAD.BWB PIRULITO BOLA 1UN,0.605,0.6413
7446,FORMA SIMP.TRAD.BWB PORTA RETRATO 1UN,0.605,0.50456
20546,FORMA SIMP.TRAD.BWB PORT.RET.CAMAFEU 1UN,0.605,0.6413
16879,FORMA SIMP.TRAD.BWB QUADRADO MEDIO 1UN,0.605,0.6413
22832,FORMA SIMP.TRAD.BWB SP 10 BOMBOM 1UN,1.723,1.82638
22831,FORMA SIMP.TRAD.BWB SP 12 CEREJAO 1UN,1.723,1.82638
22829,FORMA SIMP.TRAD.BWB SP91 TRUFA MEDIA 1UN,1.723,1.82638
